Sublibrary,Gene_symbol,Entrez_ID
Transcription factors,C11orf95,
Transcription factors,FOSL2,
Transcription factors,HOXD9,
Transcription factors,FOXO1,
Transcription factors,REST,
Transcription factors,ZNF354A,
Transcription factors,KLF3,
Transcription factors,ZNF131,
Transcription factors,GMEB2,
Transcription factors,DNTTIP1,
Transcription factors,THRB,
Transcription factors,PURG,
Transcription factors,ZSCAN22,
Transcription factors,ZIC5,
Transcription factors,HES3,
Transcription factors,CLOCK,
Transcription factors,ZNF93,
Transcription factors,RARA,
Transcription factors,ZNF250,
Transcription factors,EBF2,
Transcription factors,GZF1,
Transcription factors,ZNF614,
Transcription factors,TIGD2,
Transcription factors,NR5A2,
Transcription factors,ZBED2,
Transcription factors,MYT1L,
Transcription factors,ZNF35,
Transcription factors,POU3F1,
Transcription factors,TBR1,
Transcription factors,HOXC11,
Transcription factors,POU3F2,
Transcription factors,IRF8,
Transcription factors,HSF1,
Transcription factors,HELT,
Transcription factors,ZNF586,
Transcription factors,FOXO3,
Transcription factors,RFX5,
Transcription factors,CHCHD3,
Transcription factors,TCFL5,
Transcription factors,ZBTB32,
Transcription factors,FOXN4,
Transcription factors,ZNF527,
Transcription factors,TERF1,
Transcription factors,ATF7-NPFF,
Transcription factors,ZNF420,
Transcription factors,TCF23,
Transcription factors,ZBTB33,
Transcription factors,ZNF664,
Transcription factors,KLF6,
Transcription factors,ZBTB38,
Transcription factors,ZNF692,
Transcription factors,ZNF835,
Transcription factors,ZNF575,
Transcription factors,ATF2,
Transcription factors,KLF15,
Transcription factors,CREB1,
Transcription factors,SOX18,
Transcription factors,PHF19,
Transcription factors,THAP4,
Transcription factors,CEBPZ,
Transcription factors,AHCTF1,
Transcription factors,ZNF695,
Transcription factors,ZBTB24,
Transcription factors,ZNF878,
Transcription factors,ZNF23,
Transcription factors,RUNX2,
Transcription factors,ZNF688,
Transcription factors,DLX6,
Transcription factors,NME2,
Transcription factors,RXRA,
Transcription factors,ARNTL,
Transcription factors,TFEC,
Transcription factors,HOXB5,
Transcription factors,CTCF,
Transcription factors,ZSCAN10,
Transcription factors,HSF4,
Transcription factors,ZNF671,
Transcription factors,LHX5,
Transcription factors,MYB,
Transcription factors,FOXE1,
Transcription factors,ONECUT3,
Transcription factors,THAP11,
Transcription factors,NFAT5,
Transcription factors,GTF2IRD2B,
Transcription factors,ZNF281,
Transcription factors,AR,
Transcription factors,NFE2L3,
Transcription factors,SRF,
Transcription factors,ZNF775,
Transcription factors,BHLHA9,
Transcription factors,SNAI3,
Transcription factors,FOSL1,
Transcription factors,ZNF419,
Transcription factors,FOXS1,
Transcription factors,ZNF780B,
Transcription factors,ZNF134,
Transcription factors,MYBL2,
Transcription factors,GSC,
Transcription factors,ZNF823,
Transcription factors,CREB3L1,
Transcription factors,PHF21A,
Transcription factors,ZNF536,
Transcription factors,ATF4,
Transcription factors,ZFPM2,
Transcription factors,CRX,
Transcription factors,ARNT2,
Transcription factors,ZNF677,
Transcription factors,ZNF34,
Transcription factors,SATB1,
Transcription factors,EGR3,
Transcription factors,OLIG1,
Transcription factors,ZNF189,
Transcription factors,ATF5,
Transcription factors,CDC5L,
Transcription factors,ZNF669,
Transcription factors,PBX4,
Transcription factors,TFE3,
Transcription factors,FOXK1,
Transcription factors,ZNF84,
Transcription factors,ZNF772,
Transcription factors,PAX5,
Transcription factors,ZBTB14,
Transcription factors,ZNF585A,
Transcription factors,CEBPA,
Transcription factors,ZEB1,
Transcription factors,FOXO6,
Transcription factors,BACH1,
Transcription factors,SOHLH2,
Transcription factors,ZNF608,
Transcription factors,HOXA6,
Transcription factors,ZNF526,
Transcription factors,ELF3,
Transcription factors,ZIC1,
Transcription factors,ZNF528,
Transcription factors,TBPL2,
Transcription factors,ASH1L,
Transcription factors,CREB3,
Transcription factors,ZNF573,
Transcription factors,SHOX2,
Transcription factors,SOX8,
Transcription factors,NR1I3,
Transcription factors,ARID5A,
Transcription factors,FOXA2,
Transcription factors,YBX3,
Transcription factors,FOXO4,
Transcription factors,ZNF256,
Transcription factors,FAM170A,
Transcription factors,LHX9,
Transcription factors,HOXA11,
Transcription factors,ZBTB7A,
Transcription factors,HOXC4,
Transcription factors,HOXB4,
Transcription factors,ZIM2,
Transcription factors,KLF11,
Transcription factors,TBX3,
Transcription factors,NEUROD4,
Transcription factors,STAT1,
Transcription factors,ARNT,
Transcription factors,NR2E3,
Transcription factors,CENPBD1,
Transcription factors,HDX,
Transcription factors,ZNF324B,
Transcription factors,ZNF142,
Transcription factors,SNAPC2,
Transcription factors,ZNF615,
Transcription factors,ZNF439,
Transcription factors,ZNF480,
Transcription factors,GLI4,
Transcription factors,ZFHX4,
Transcription factors,ZNF696,
Transcription factors,AKAP8,
Transcription factors,ZIM3,
Transcription factors,ZNF490,
Transcription factors,ZNF274,
Transcription factors,CIC,
Transcription factors,SAFB,
Transcription factors,DBX1,
Transcription factors,ZNF584,
Transcription factors,THAP8,
Transcription factors,SALL4,
Transcription factors,ZNF507,
Transcription factors,ZNF346,
Transcription factors,ZNF335,
Transcription factors,ZNF32,
Transcription factors,ZNF791,
Transcription factors,BCL6B,
Transcription factors,EBF3,
Transcription factors,ZNF684,
Transcription factors,E2F1,
Transcription factors,MZF1,
Transcription factors,NR1H4,
Transcription factors,KLF17,
Transcription factors,ZNF280D,
Transcription factors,ZNF429,
Transcription factors,ZNF14,
Transcription factors,KLF8,
Transcription factors,NEUROG2,
Transcription factors,ZNF44,
Transcription factors,BHLHE23,
Transcription factors,ZUP1,
Transcription factors,ZNF132,
Transcription factors,KDM2B,
Transcription factors,LMX1A,
Transcription factors,PHF20,
Transcription factors,ZNF432,
Transcription factors,IRX2,
Transcription factors,HIVEP2,
Transcription factors,HOXB13,
Transcription factors,ZNF518B,
Transcription factors,RLF,
Transcription factors,SETDB2,
Transcription factors,POU4F2,
Transcription factors,ZNF304,
Transcription factors,FBXL19,
Transcription factors,NFX1,
Transcription factors,UBP1,
Transcription factors,NRF1,
Transcription factors,SOX14,
Transcription factors,AIRE,
Transcription factors,LBX1,
Transcription factors,KLF4,
Transcription factors,VDR,
Transcription factors,ZNF800,
Transcription factors,ZNF223,
Transcription factors,CAMTA1,
Transcription factors,MYOD1,
Transcription factors,BAZ2B,
Transcription factors,ZKSCAN1,
Transcription factors,THAP12,
Transcription factors,ZNF441,
Transcription factors,SMAD3,
Transcription factors,ZNF385A,
Transcription factors,EHF,
Transcription factors,ZSCAN9,
Transcription factors,ZNF781,
Transcription factors,ZNF426,
Transcription factors,DMRTA1,
Transcription factors,POGK,
Transcription factors,ZNF367,
Transcription factors,NKX6-1,
Transcription factors,MTERF3,
Transcription factors,RFX1,
Transcription factors,NKX6-2,
Transcription factors,ZBTB41,
Transcription factors,NKX2-6,
