Plate_number_384,Well_number_384,Plasmid_ID,Gene_symbol,Entrez_ID,TSS_ID,Is_main_TSS,Is_NT_ctrl,Is_pos_ctrl,Raw_rep1,Raw_rep2,CellTiterGlo_foldNT,DeltaNT_rep1,FoldNT_rep1,PercActivation_rep1,Raw_log2_rep1,Log2FC_rep1,Raw_Glo_rep1,DeltaNT_Glo_rep1,FoldNT_Glo_rep1,Log2FC_Glo_rep1,DeltaNT_rep2,FoldNT_rep2,PercActivation_rep2,Raw_log2_rep2,Log2FC_rep2,Raw_Glo_rep2,DeltaNT_Glo_rep2,FoldNT_Glo_rep2,Log2FC_Glo_rep2,SSMD_raw,SSMD_mod_raw,Mean_raw,p_value_raw,p_value_repro_raw,SSMD_log2,SSMD_mod_log2,Mean_log2,p_value_log2,p_value_repro_log2,SSMD_log2_glo,SSMD_mod_log2_glo,Mean_log2_glo,p_value_log2_glo,p_value_repro_log2_glo
VII,144,Empty,,,,,False,False,1.0,1.0,,-2361.342776472612,0.00042330859431550133,-92.18121113473336,0.0,-11.206001113229608,,,,,-2670.2134926754406,0.0003743616909475916,-82.29622758966664,0.0,-11.383279529747764,,,,,0.0,0.012526509391390338,1.0,0.9920257935119574,0.9344387533829162,0.039085607378582035,-113.91057842933267,-11.294640321488686,0.005588624231805874,0.7527898706929379,,,,,
VII,145,Empty,,,,,False,False,1.0,1.0,,-2361.342776472612,0.00042330859431550133,-92.18121113473336,0.0,-11.206001113229608,,,,,-2670.2134926754406,0.0003743616909475916,-82.29622758966664,0.0,-11.383279529747764,,,,,0.0,0.012526509391390338,1.0,0.9920257935119574,0.9344387533829162,0.039085607378582035,-113.91057842933267,-11.294640321488686,0.005588624231805874,0.7527898706929379,,,,,
VII,166,OLIG1,OLIG1,116448.0,,Single,False,False,1025.0042204401148,1123.9770025427028,,-1337.3385560324973,0.4338930957219612,-52.20651953648326,10.00141413468109,-1.2045869785485177,,,,,-1547.2364901327378,0.4207739312580917,-47.68597218023185,10.134396801842794,-1.2488827279049701,,,,,-0.03500113018311453,11.43991909930097,1074.4906114914088,0.05550788212315914,0.8839818934150938,0.009766142443567351,-24.70801784572454,-1.226734853226744,0.02575166146235176,0.9500303604856488,,,,,
VII,169,Empty,,,,,False,False,1.0,1.0,,-2361.342776472612,0.00042330859431550133,-92.18121113473336,0.0,-11.206001113229608,,,,,-2670.2134926754406,0.0003743616909475916,-82.29622758966664,0.0,-11.383279529747764,,,,,0.0,0.012526509391390338,1.0,0.9920257935119574,0.9344387533829162,0.039085607378582035,-113.91057842933267,-11.294640321488686,0.005588624231805874,0.7527898706929379,,,,,
VII,192,Empty,,,,,False,False,1.0,1.0,,-2361.342776472612,0.00042330859431550133,-92.18121113473336,0.0,-11.206001113229608,,,,,-2670.2134926754406,0.0003743616909475916,-82.29622758966664,0.0,-11.383279529747764,,,,,0.0,0.012526509391390338,1.0,0.9920257935119574,0.9344387533829162,0.039085607378582035,-113.91057842933267,-11.294640321488686,0.005588624231805874,0.7527898706929379,,,,,
VII,193,Empty,,,,,False,False,1.0,1.0,,-2361.342776472612,0.00042330859431550133,-92.18121113473336,0.0,-11.206001113229608,,,,,-2670.2134926754406,0.0003743616909475916,-82.29622758966664,0.0,-11.383279529747764,,,,,0.0,0.012526509391390338,1.0,0.9920257935119574,0.9344387533829162,0.039085607378582035,-113.91057842933267,-11.294640321488686,0.005588624231805874,0.7527898706929379,,,,,
VII,195,SHOX2,SHOX2,6474.0,,Single,False,False,1066.0331885351625,1119.3279986377706,,-1296.3095879374496,0.45126101053249146,-50.60484611223796,10.058036638509414,-1.1479644747201938,,,,,-1551.88549403767,0.4190335222950193,-47.82925491192167,10.128417138375635,-1.2548623913721286,,,,,-0.018847389624273042,12.983262924697447,1092.6805935864666,0.04893726163838272,0.9676057367602721,0.02356840771655921,-17.28462415313873,-1.2014134330461612,0.036790554104692286,0.8560243956172077,,,,,
VII,200,YBX3,YBX3,8531.0,,Single,False,False,889.6804412948118,1086.798604839193,,-1472.6623351778003,0.3766093769945017,-57.48923832734742,9.797143426364093,-1.408857686865515,,,,,-1584.4148878362475,0.40685576342708374,-48.83181384690755,10.08586890329848,-1.2974106264492846,,,,,-0.06970965509004254,7.791605238012982,988.2395230670024,0.08126161847742469,0.7097434742680141,-0.024571383998569084,-18.98561641689541,-1.3531341566573998,0.03350073105432148,0.8159120654112111,,,,,
VII,201,FOXO4,FOXO4,4303.0,,Single,False,False,699.7804467473643,876.4796408080438,,-1662.5623297252478,0.29622307724210034,-64.90248288729748,9.45075854315683,-1.7552425700727774,,,,,-1794.7338518673969,0.32812040041403695,-55.313863831977486,9.775576769696901,-1.6077027600508629,,,,,-0.06248860912244209,6.618831631605614,788.130043777704,0.09546112888667489,0.7450871842076441,-0.032528963200867324,-19.524941107375664,-1.6814726650618201,0.03257699969124213,0.7632002240733263,,,,,
VII,217,Empty,,,,,False,False,1.0,1.0,,-2361.342776472612,0.00042330859431550133,-92.18121113473336,0.0,-11.206001113229608,,,,,-2670.2134926754406,0.0003743616909475916,-82.29622758966664,0.0,-11.383279529747764,,,,,0.0,0.012526509391390338,1.0,0.9920257935119574,0.9344387533829162,0.039085607378582035,-113.91057842933267,-11.294640321488686,0.005588624231805874,0.7527898706929379,,,,,
VII,240,Empty,,,,,False,False,1.0,1.0,,-2361.342776472612,0.00042330859431550133,-92.18121113473336,0.0,-11.206001113229608,,,,,-2670.2134926754406,0.0003743616909475916,-82.29622758966664,0.0,-11.383279529747764,,,,,0.0,0.012526509391390338,1.0,0.9920257935119574,0.9344387533829162,0.039085607378582035,-113.91057842933267,-11.294640321488686,0.005588624231805874,0.7527898706929379,,,,,
